PartitionKey,RowKey,Timestamp,Check1,Check2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,isTurk,clickedPlay,time,correctCount,lyrics,Q12
musictests,Tylerb2925476-8ab6-4061-883e-2c7b57e585b0,2018-08-07T01:12:22.983Z,A,A,B,C,A,D,A,D,A,A,H,B,A,B,true,true,-733,0,true,
musictests,Victor Wilson9b08e886-5374-4828-adca-1f749b354153,2018-08-07T16:58:40.806Z,A,A,C,B,E,A,D,E,A,A,H,A,A,B,null,true,-440,5,true,
musictests,Warren25b4b8b5-b881-45e9-ac1c-60ac86056566,2018-08-07T00:23:46.022Z,A,A,C,B,E,E,D,E,A,A,H,B,A,B,true,true,-292,4,false,
musictests,Whitfbcad134-3e6e-497a-ad66-1c554b4900f7,2018-08-07T00:26:40.838Z,A,A,B,B,E,A,B,C,B,A,E,A,A,B,true,true,-392,3,true,
musictests,Yoolim Jind4d41cbe-5080-44e2-be5f-dda52a3cf013,2018-08-03T00:03:15.187Z,A,A,C,E,E,A,C,D,A,B,H,Data Scientist,B,,null,true,-344,3,true,A
musictests,bb5255b721-38ff-4d60-a77e-b3c18b4fe44f,2018-08-07T00:32:20.815Z,A,A,D,C,E,A,C,E,B,B,E,B,A,B,true,true,-425,2,false,
musictests,chris3320cae5-f48c-4725-9d6a-412a68ea2b7d,2018-08-07T00:37:18.622Z,A,A,C,B,C,C,D,D,A,B,H,B,A,B,true,true,-780,3,false,
musictests,chris83016611-a117-4e02-a58c-b786c1afc226,2018-08-07T00:26:46.500Z,A,A,C,C,E,A,B,D,A,B,D,B,A,B,true,true,-419,3,false,
musictests,christopher0fdca4bc-4abb-47b5-b7cf-5d63031f70b7,2018-08-07T00:43:38.183Z,A,A,C,B,E,C,B,D,A,B,E,A,A,B,true,true,-390,3,true,
musictests,dani2697dc06-2d5c-4d2d-8f03-ec8044ec3a3b,2018-08-06T23:59:34.661Z,A,A,C,C,E,A,D,D,B,A,I,A,A,B,null,true,-543,4,true,
musictests,danielle98787fa8-0482-4673-ada7-93a27a9c120c,2018-08-07T00:30:24.737Z,A,A,C,B,E,E,B,B,B,A,G,B,A,B,true,true,-670,3,false,
musictests,david brownb862189e-e174-43ab-a6f0-5336dc6da523,2018-08-09T02:38:57.578Z,B,B,C,B,E,A,B,E,A,B,H,A,A,B,null,true,-431,4,true,
musictests,f78df8b3-3f06-4816-a0d0-8f09688978ad,2018-08-02T23:31:14.319Z,A,A,C,B,C,C,B,C,A,A,H,Produce Sales,A,,null,true,-346,2,false,B
